Sãn phẩm  k mịn.   rất nóng nực. dài quá'  hàng kém chất lượng,1
Hdjdjdjdhfjjfjfbfbfb ng ng bàc bhfbchfhfhfhjfjfjfhfhfjncbcc,1
"Áo ko giống trong hình 
Có ai đi làm về rồi à à a ơi à à a ha a ơi à đóng cửa đi ngủ đây chơi với ",1
"Shop làm ăn như cục cức ấy , làm ăn thì như đb rẻ rách, áo bán để quấn cu à mà rách nách các kiểu , nhắn tin cho shop thì không phản hồi",1
"Chất lượng áo khá ổn so với giá tiền
Nhưng mình đặt 2 áo tay lỡ thì shop giao một tay lỡ một tay thường. Nhắn tin hỏi shop thì shop không rep. Không hài lòng về việc này. ",1
Gxsshxbeucbeuxbshsuchdhxheuxbshsdhxhshxhshxhshdhshdh,1
Jjdnddndndndnnfnfnfnfnfnccnnfnfnfnfnfnfnfnfnfnfnfnfnfnfncncncncncncnf,1
áo tay ngắn ???,1
Áo tay quá ngắn còn bị lõi đg may mặc vào bó cả tay ,1
Tay áo ngắn hơn rất nhiều so vs hình :((,1
Áo ngắn ship lâu hàng khong đẹp không ok tí nào từ hàng đến ship,1
Hỗ trợ kém,1
"Sản phẩm quá tệ !!!. Màu khác ảnh 100%. Khuyến cáo mn nên tham khảo ảnh thật trước khi mua hàng. Giờ mua về kh ai chịu mặc:))). Bạn nào ưng, điều kiện không đủ mua bộ + ship của shop thì ib riêng em tặng free tự thanh tóan ship thoy nhá:)).",1
Chưa bao giờ mình mua được bộ đồ mà nó mỏng như vậy luôn. Đồ nhăn nhúm và mỏng lắm luôn. Mình lấy màu tối chứ mà màu sáng chắc nhìn thấy bên trong hết luôn quá.,1
"Áo xấu, vải mỏng dính, size bé tí lấy size to nhất mà vẫn cộc ...",1
"Đồ không mặc được như cái giẻ lau . Chất nóng , mình yêu cầu trả hàng thì shop lại khiếu nại lại khách. Khuyên mọi người nên xem xét lại trước khi mua sản phẩm này .",1
"Chời ơi, vải mỏng kinh khủng, đã v dễ dãn kinh khung k đáng tiền hối hận khi mua",1
Vải vô cùng chánnnnnnnnnnnnnnn...........,1
Hình ảnh ko lq nhưng mà vải mỏng lắm mặc 2 bữa làm dẻ lau quá,1
"Lúc mình nhận đồ tưởng bị dính dơ, giặt xong sẽ hết vì mình tin tưởng shop! Ai ngờ giặt xong vẫn vậy! Nó bạc màu, dơ và cũ như đã mặc mấy năm! 
Mấy bạn mua nhớ cân nhắc kỹ! Mình thấy nhìu người đánh giá 1 sao nhưng vẫn lao đầu vô mua! Ngáo vô cùng! ",1
"Mọi người đừng nên mua đồ shop này
Người bán service siêu tệ
Sản phẩm thì không như mô tả
Mình mua XXL mà 55kg mặc không vừa
Eo quần 50cm mà kiu là  giao đúng size XXL 
Chất lượng thun cũng siêu tệ, vải xấu ",1
"Vải đồ bộ xấu kinh khủng. Nhìn vải cứng, mỏng, sần như đồ cũ vậy. Vải đồ ngoài chợ 35k còn đẹp, mịn hơn vải này. Ko hiểu sao nhiều người mua đến vậy, đã lầm. Không bao giờ mua lại lần 2.",1
"Form rộng rãi, vải mỏng dính. Giặt xong vải bị bạc màu như mặc cả năm luôn vậy. Mua 1 lần và ko có lần 2. Ko hiểu sao nhiều đánh giá khen thế.m ko bán hàng nên ko có dìm đối thủ đâu nha:)) ",1
Chất vải xấu kinh khủng chọn loại này lại giao loại khác biết thế k mua,1
"Giao thiếu hàng đặt 1 bộ pizama mà giao thiếu quần nhắn tin shop cãi, ủa ko thiếu mk rảnh à mà nhắn tin cho shop. Lần đầu mua hàng gặp tình trạng này",1
Hàng xấu,1
"Mua trai đào thì gửi đám mây
Vải ổn",1
Mua phí tiền. Mới giặt 1 lần bay hết màu ,1
"Xấu, vải thô cứng và xuyên thấu. Không nên mua nhé mn",1
Chất quá xấu. Số tiền số với sp k tương xứng,1
